resume_text,jd_text,self_reflection,technical_score,communication_score,failure_reason
Python ML basics,Java SQL Spring,I did not know SQL joins and queries,42,60,Skill_Mismatch
Python ML projects,Java SQL,I was unfamiliar with database concepts,40,58,Skill_Mismatch
Data analysis Python,Java Backend,I lacked Java backend experience,45,62,Skill_Mismatch
Machine learning basics,Java Spring Boot,I had no experience with Spring framework,43,61,Skill_Mismatch
Python Pandas NumPy,Java SQL,I could not answer SQL normalization questions,41,59,Skill_Mismatch
ML beginner projects,Java Backend,I did not know REST APIs in Java,44,60,Skill_Mismatch
Python scripting,Java OOP,I was not confident with Java OOP concepts,46,63,Skill_Mismatch
ML fundamentals,Java SQL,I struggled with SQL joins and indexing,39,57,Skill_Mismatch
Python ML basics,Java Enterprise,I lacked enterprise Java exposure,47,64,Skill_Mismatch
Data science Python,Java Backend,I was not prepared for Java backend questions,42,61,Skill_Mismatch
Python ML projects,Java SQL Spring,I could not explain Spring Boot architecture,43,60,Skill_Mismatch
Python ML basics,Java SQL,I did not know stored procedures,41,59,Skill_Mismatch
Data analysis Python,Java Backend,I lacked experience in Java backend systems,44,62,Skill_Mismatch
Machine learning basics,Java Spring,I was unfamiliar with Spring annotations,40,58,Skill_Mismatch
Python Pandas,Java SQL,I could not answer complex SQL queries,42,60,Skill_Mismatch
ML beginner projects,Java Backend,I did not understand Java frameworks,45,63,Skill_Mismatch
Python scripting,Java OOP,I struggled with Java inheritance concepts,43,61,Skill_Mismatch
ML fundamentals,Java SQL,I lacked SQL optimization knowledge,41,59,Skill_Mismatch
Python ML basics,Java Enterprise,I was not confident with enterprise Java,46,64,Skill_Mismatch
Data science Python,Java Backend,I did not know Java backend design,44,62,Skill_Mismatch
Python ML projects,Java SQL Spring,I failed to answer Spring dependency injection,42,60,Skill_Mismatch
Python ML basics,Java SQL,I was unfamiliar with SQL triggers,40,58,Skill_Mismatch
Data analysis Python,Java Backend,I lacked backend development exposure,45,63,Skill_Mismatch
Machine learning basics,Java Spring Boot,I did not know Spring Boot lifecycle,43,61,Skill_Mismatch
Python Pandas NumPy,Java SQL,I struggled with SQL joins syntax,41,59,Skill_Mismatch
Python ML projects,Java Backend,I could not explain RESTful services in Java,44,62,Skill_Mismatch
Python scripting,Java OOP,I was not strong in Java polymorphism,42,60,Skill_Mismatch
ML fundamentals,Java SQL,I did not understand SQL indexing,40,58,Skill_Mismatch
Python ML basics,Java Enterprise,I lacked experience with Java enterprise apps,46,64,Skill_Mismatch
Data science Python,Java Backend,I could not answer Java backend architecture questions,44,62,Skill_Mismatch
Python ML projects,Java SQL Spring,I was unfamiliar with Spring MVC,43,61,Skill_Mismatch
Python ML basics,Java SQL,I did not know SQL subqueries,41,59,Skill_Mismatch
Data analysis Python,Java Backend,I lacked Java API development knowledge,45,63,Skill_Mismatch
Machine learning basics,Java Spring,I could not explain Spring configuration,42,60,Skill_Mismatch
Python Pandas,Java SQL,I struggled with SQL aggregate functions,40,58,Skill_Mismatch
ML beginner projects,Java Backend,I did not know Java web services,44,62,Skill_Mismatch
Python scripting,Java OOP,I was weak in Java interfaces,43,61,Skill_Mismatch
ML fundamentals,Java SQL,I did not understand SQL joins types,41,59,Skill_Mismatch
Python ML basics,Java Enterprise,I lacked Java enterprise project experience,46,64,Skill_Mismatch
Data science Python,Java Backend,I could not answer Java backend scalability questions,44,62,Skill_Mismatch
Python ML projects,Java SQL Spring,I was not comfortable with Spring Security,42,60,Skill_Mismatch
Python ML basics,Java SQL,I did not know SQL views,40,58,Skill_Mismatch
Data analysis Python,Java Backend,I lacked Java server-side knowledge,45,63,Skill_Mismatch
Machine learning basics,Java Spring Boot,I could not explain Spring Boot starters,43,61,Skill_Mismatch
Python Pandas NumPy,Java SQL,I struggled with SQL joins performance,41,59,Skill_Mismatch
Python ML projects,Java Backend,I did not know Java microservices,44,62,Skill_Mismatch
Python scripting,Java OOP,I was not confident in Java abstraction,42,60,Skill_Mismatch
ML fundamentals,Java SQL,I lacked SQL query optimization skills,40,58,Skill_Mismatch
Python ML basics,Java Enterprise,I did not have enterprise Java exposure,46,64,Skill_Mismatch
Python ML projects,Python ML,I could not explain overfitting and underfitting,38,55,Weak_Fundamentals
Python ML basics,Python ML,I struggled with basic ML algorithms,36,54,Weak_Fundamentals
Data science Python,Python ML,I did not understand bias variance tradeoff,37,56,Weak_Fundamentals
Machine learning projects,Python ML,I failed to explain logistic regression,35,53,Weak_Fundamentals
Python ML fundamentals,Python ML,I was confused about gradient descent,34,52,Weak_Fundamentals
ML beginner projects,Python ML,I lacked understanding of model evaluation metrics,39,57,Weak_Fundamentals
